term,score
parnell,17.49623768
question,6.054571922
man,5.990295575
fact,5.455978322
chairman,5.319098248
got,4.978787085
irishman,4.961767915
men,4.792811097
years,4.652226412
vote,4.453042379
matter,3.980574377
secretary,3.683978215
irish,3.681783096
gentlemen,3.489964489
gave,3.275629776
believed,3.183026718
home,3.172269927
subject,3.149980548
meath,2.972990458
time,2.827716584
government,2.824928764
country,2.749394111
right,2.632883804
county,2.59522328
order,2.555203039
committee,2.536006084
statement,2.517142982
power,2.516915254
catholic,2.495408849
clause,2.474257304
found,2.439013736
taken,2.315494283
act,2.302357048
wished,2.16209235
prevent,2.15532363
asked,2.136894459
proceedings,2.024150041
opinion,2
therefore,2
find,1.968618776
ireland,1.878448638
several,1.826629777
nothing,1.784128245
first,1.666287829
two,1.660580335
division,1.626520847
year,1.610847937
night,1.525444064
office,1.408646981
lord,1.369660237
reference,1.329587862
bill,1.315200461
result,1.303042059
motion,1.302634794
local,1.288417038
information,1.243728438
read,1.222912415
chief,1.157736871
back,1.15267337
voted,1.08642759
given,1.058071806
take,1.02833811
land,1.0116941
appeared,1.004308487
purpose,1
rent,1
reason,1
forward,1
discussion,0.947447148
people,0.927985974
speech,0.908499553
anything,0.871558153
amendment,0.855025745
words,0.855025745
took,0.831447548
although,0.82503739
circumstances,0.823256921
every,0.819397193
always,0.809700032
ought,0.761117871
next,0.742682887
dublin,0.726014515
position,0.690448045
rights,0.669643286
protestants,0.667671072
get,0.667671072
business,0.637036959
work,0.631951492
general,0.625611277
party,0.606123022
action,0.596716157
times,0.591512445
english,0.573268738
law,0.563227518
obtain,0.55670522
prime minister,0.550291301
prime,0.545648209
minister,0.532889355
england,0.528884529
money,0.526268636
counties,0.522299369
character,0.516826253
even,0.510821859
case,0.500346787
captain,0.466826215
perhaps,0.465868279
second,0.453674877
chief secretary,0.449089585
stand,0.435377442
point,0.420959472
make,0.404906318
without,0.383731577
control,0.295864662
necessary,0.256628636
irish people,0.249262428
parliament,0.231039756
