term,score
right,45.11524418
ireland,36.39865643
irish,26.13740994
bill,23.60895328
oshea,22.67605842
ulster,21.8200398
question,20.82326406
lynch,20.50577145
years,20.12082081
galway,19.77259898
people,19.10807266
parliament,17.34585942
order,14.3457188
lord,14.14366257
go,13.69461512
parnell,13.17683673
speech,12.31312552
imperial,11.34697735
explained,11.32717096
first,11.14967223
protestants,11.08425023
day,10.85322898
consideration,10.56769309
two,10.25229507
forward,10.11079403
time,9.956394032
separate,9.899150024
man,9.649461199
nationalists,9.637538048
east,9.603100843
voted,9.577373006
england,9.468536526
vote,9.463804119
night,9.047074835
mind,9.045754152
poll,8.803442109
duty,8.792529186
five,8.696996804
whole,8.696649882
head,8.636497102
catholic,8.63404035
protestant,8.448020756
irish people,8.188617105
left,8.129050831
even,8.081208827
per,8.067414451
point,8.058852082
local,8.017628492
opinion,7.974150566
things,7.972515557
captain,7.868921014
legislature,7.768401242
captain oshea,7.598129896
far,7.518188097
year,7.400995356
place,7.195932879
majority,7.131496488
money,7.110040612
necessary,6.917132431
nothing,6.875421919
leaving,6.847132328
county,6.800942869
first order,6.770957016
country,6.699250014
settlement,6.558940373
power,6.526084766
government,6.512566823
education,6.468056657
took,6.452128867
used,6.354962027
gave,6.318006038
explain,6.256583405
case,6.162614177
meeting,6.127202372
reason,6.070607625
measure,5.889559337
law,5.870467179
public,5.776864402
given,5.7722024
land,5.732818748
votes,5.724573582
still,5.717130886
chief,5.713577743
thing,5.438145027
secretary,5.35388892
chief secretary,5.348524878
prime,5.334113996
state,5.275593522
suppose,5.265139804
constabulary,5.224591739
take,5.204223813
general,5.194123182
reference,5.193640935
position,5.09480508
act,5.047952069
proceedings,5.043890607
candidate,4.938949055
without,4.925437477
dublin,4.909825477
always,4.895288772
late,4.866315329
attention,4.840651588
effect,4.825180737
result,4.811741913
words,4.733485689
half,4.676408451
landlords,4.667535833
proposed,4.653895859
subject,4.650162861
circumstances,4.64077258
days,4.564747633
matter,4.555966522
several,4.417316945
live,4.409958534
city,4.399635529
irishman,4.359874781
found,4.280528976
make,4.278734678
prime minister,4.262076486
every,4.222510329
election,4.206084832
minister,4.166362412
another,4.152401805
irish landlords,4.130182709
long,4.087505648
office,4.07781378
constituency,4.012772938
force,3.809658909
taken,3.769958468
side,3.613589398
although,3.602273365
rents,3.563596247
return,3.443049468
large,3.428787245
works,3.303015985
men,3.079047434
stand,3.064985199
west,2.919693261
referred,2.887724738
able,2.817109923
tenants,2.767618844
possible,2.766522599
fact,2.753570466
purpose,2.702858079
impossible,2.616364555
asked,2.545178704
back,2.513073688
chairman,2.496101175
constitution,2.470201747
gentlemen,2.430929518
number,2.418741046
per cent,2.369053262
cent,2.369053262
committee,2.312691892
lords,2.303725368
therefore,2.131576158
rent,2.086664488
motion,2.068010925
find,2.055649668
work,1.965689291
future,1.828191397
represented,1.754511254
discussion,1.751386885
rev,1.750504683
resolution,1.748052213
evening,1.724296324
national,1.691516319
wished,1.634923592
pay,1.501846671
get,1.429248814
clause,1.406237623
land question,1.39775559
yet,1.391609109
english,1.343568401
police,1.21832323
tenant,1.200351652
going,1.093369903
intended,1.085370389
rule,0.977584837
occasion,0.971421557
statement,0.964182243
home,0.910497435
notice,0.910052451
church,0.802021163
thousand,0.779896864
john,0.767572313
questions,0.766052511
commons,0.764337695
militia,0.757808285
cork,0.634103347
attend,0.589069125
appeared,0.544108083
believed,0.471657049
landlord,0.375204754
system,0.215747611
paid,0.197110415
