term,score
right,30.64345852
irish,28.76418078
ireland,28.1800218
people,16.08590027
party,15.15313687
parliament,13.20721361
result,12.83000288
fact,12.48764222
england,12.38931189
two,11.3262635
every,11.22643566
lynch,10.8534699
galway,10.46297092
bill,10.34210033
measure,10.31272242
days,10.19701228
plan,10.19536282
oshea,9.944951909
question,9.843436363
ulster,9.57034948
circumstances,9.464833812
spirit,9.351731981
parnell,9.315864714
peace,9.311700387
power,9.148020775
cheerfully,8.858250732
time,8.644879821
future,8.600232832
irish people,8.429656581
settlement,8.38898024
conservative,8.108374193
like,7.97717141
day,7.94074387
legislature,7.932864552
speech,7.708433101
accepted,7.65342976
first,7.547744555
able,7.499784559
landlords,7.463657255
constituency,7.296836672
satisfaction,7.283271052
country,7.238355573
man,7.235713708
conservative party,7.151215281
case,7.126844498
minority,7.086419861
cause,7.026954224
happy,7.024466792
entirely,6.900460843
gained,6.895367499
remarkable,6.8869032
outrages,6.852675537
opinion,6.82722502
good,6.797703473
whatever,6.73581399
solution,6.733139836
nation,6.624947851
successful,6.545214893
wealth,6.529962456
meeting,6.434979169
relative,6.429335934
desire,6.373425754
far,6.012336598
given,5.967229929
hope,5.883478397
thing,5.787781915
courage,5.773132142
remarkable fact,5.762459422
necessary,5.757237183
ability,5.722456424
always,5.69130415
together,5.689007028
take,5.611280934
nothing,5.550479245
five,5.47940135
favour,5.432241234
therefore,5.41413044
men,5.330564763
countries,5.325869071
years,5.260411674
small,5.126932691
gentlemen,5.063629642
long,5.042130912
succeed,5.028180849
lord,5.021436431
without,5.00950129
prime minister,4.915852147
prime,4.879469683
minister,4.879469683
promise,4.87349726
english,4.813368877
lead,4.765065049
matter,4.748726769
back,4.716570822
wish,4.64394538
prove,4.64040766
irish party,4.611684576
go,4.547059338
parties,4.48917218
prosperity,4.480638017
public,4.478278559
forward,4.395059612
succeeded,4.330968205
money,4.270099295
look,4.168584453
political,4.084210939
order,4.04238778
less,3.970608724
self,3.968197349
find,3.964498033
point,3.961757424
although,3.933235434
america,3.914638689
government,3.897998228
fair,3.878421935
noble,3.868352785
national,3.866239935
vote,3.854121103
bring,3.81882654
act,3.729602416
parliamentary,3.687044745
strong,3.615297907
still,3.600274674
convinced,3.566467455
people ireland,3.423582608
union,3.393713318
american,3.343036098
general,3.269046301
taken,3.259161602
felt,3.228182097
election,3.227568718
found,3.190804805
greater,3.078249591
confidence,3.072747504
sympathy,3.062598294
action,3.040661413
large,3.023156356
poor,3.009850613
life,2.998958252
work,2.948449705
land,2.894522197
anything,2.88217596
times,2.85390077
shown,2.821731773
division,2.811383343
constitution,2.777429169
opportunity,2.719286909
perhaps,2.697414178
opposition,2.669137
possible,2.632395461
night,2.593062327
even,2.573229495
state,2.571977719
heart,2.529646959
justice,2.52021377
proposed,2.500246355
moment,2.447011507
home,2.371542216
county,2.34863747
purpose,2.133974214
duty,2.126550413
respect,2.118238686
feel,2.024414261
whole,2.000228471
make,1.982534472
strength,1.85091308
interests,1.826381492
old,1.523847221
history,1.452757099
home rule,1.283938193
dublin,1.265343126
trust,1.256538197
rule,1.228014727
entitled,1.220133357
longer,1.124506095
system,1.118405683
population,1.058240385
prison,0.862279295
tenants,0.804463104
position,0.777637841
irishmen,0.729062183
electors,0.629915148
hand,0.584042199
placed,0.550374761
TRUE,0.425588025
near,0.360485473
gone,0.336861701
determined,0.299687799
rights,0.239277981
interest,0.190851003
