term,score
parnell,9.10061205
meath,5.709048598
ireland,5.501413621
england,5.454886843
county,5.249037826
people,5.158357707
control,4.434877704
matter,4.02415942
irish,3.91504466
given,3.586431826
meeting,3.52370887
war,3.13238553
government,3.052864742
prisoners,3.007483327
wrong,2.926176052
question,2.879440405
like,2.818506108
irish people,2.790358212
noble,2.712085741
political,2.611269193
country,2.592564744
wish,2.434344406
system,2.404686943
good,2.322971655
man,2.298397993
day,2.251823973
honest,2.219347042
powers,2.176837878
ability,2.088758494
free,2.071218714
gentlemen,2.057312301
favour,2.023444671
men,1.998233177
nation,1.898805464
strong,1.828470552
hoped,1.811904536
fair,1.755974911
peace,1.75079148
cause,1.73639527
tenant,1.730395086
speech,1.652507535
address,1.606381648
party,1.549231553
bill,1.534871195
greatest,1.518257238
constitution,1.490235656
success,1.476737787
measure,1.447825115
succeed,1.408975551
back,1.398950535
confidence,1.387682489
go,1.380085411
abuse,1.332966597
join,1.326210475
english,1.323652111
respect,1.238583343
TRUE,1.229766422
whole,1.207267254
strength,1.17098611
coercion,1.117612888
magnificent,1.113665013
stand,1.103081231
landlords,1.093335594
trust,1.081005353
englishmen,1.066590542
opportunity,1.03032168
six,1.009996381
minister,0.997577279
time,0.983032833
offences,0.969446473
without,0.94491847
tenants,0.916685486
parliament,0.892500497
justice,0.880639619
future,0.871008756
convinced,0.868823668
longer,0.846367243
every,0.801991242
friend,0.801604067
found,0.791935323
knew,0.773602384
perhaps,0.753709815
another,0.722912848
poor,0.719127297
irish party,0.717193264
doubt,0.711626802
years,0.649771927
want,0.601005893
spirit,0.58209652
taken,0.576930415
beyond,0.561560804
crime,0.54170579
parts,0.523150913
five,0.521434501
proud,0.520319056
possible,0.502107906
interests,0.49745541
prosperity,0.487531698
able,0.482891863
irishman,0.478827763
months,0.474922686
satisfaction,0.470569507
still,0.469092968
right,0.450353745
solution,0.448856929
happy,0.447389772
protection,0.440743078
place,0.437637119
fought,0.425715689
circumstances,0.423537169
allow,0.421168301
succeeded,0.414940725
far,0.411036748
effect,0.408997226
suffering,0.405378671
united,0.404905022
act,0.392761924
division,0.378545291
victory,0.373433339
desire,0.369779118
accepted,0.369768524
power,0.336631665
look,0.291916486
