term,score
right,21.967354788613132
ireland,20.606550352787217
irish,16.33388680460922
question,14.673042019417712
party,11.96467269716474
every,10.043431328325257
parnell,9.98562618568473
man,9.985253582995798
fact,9.631227616823434
people,9.450872316088828
lynch,9.13694868315062
bill,8.882974219016331
minority,7.818878588232888
fear,7.688381553708749
cannot,7.582683655563628
extraordinary,7.437644900597022
desire,7.340160059835487
measure,7.309914964317866
remarkable,7.0647338573924525
small,7.040070133978699
oshea,6.879017925236258
galway,6.851943674182789
violent,6.733558562321939
spirit,6.506782031784771
good,6.489050455014735
parliament,6.445358003950274
always,6.437484766153
back,6.285322641405083
battle,6.270915809338057
coercion,6.190803915769696
corner,5.966110468163519
settlement,5.861619265093808
point,5.859293679982699
thing,5.8406917966329726
circumstances,5.826473151304647
lord,5.73314004718541
outrages,5.693303962315789
england,5.67741872532023
admit,5.627770682815814
power,5.606870545148012
day,5.514569844168571
cheerfully,5.483757669732791
successful,5.441430591564577
englishmen,5.406262710640219
accepted,5.39800237389206
friend,5.335146233915204
two,5.171829429392714
danger,5.137454931279465
like,5.128419321937032
voice,5.114121184665464
perfectly,5.065501242726955
united,5.052682251940975
far,4.994326752358973
english,4.9822704654475505
happy,4.8749770538037
irish people,4.78946329572976
fight,4.780086650559564
meeting,4.730890724779403
matter,4.690417787399015
join,4.6391172735528645
justice,4.54625070659542
result,4.502589606201584
peace,4.361759652389642
entered,4.33971911467454
protection,4.333374990674418
satisfaction,4.2907348283471185
political,4.281877629734538
country,4.248573623109657
allow,4.240354014179737
time,4.220077926508147
hope,4.210102091754219
innocent,4.1943630059507235
gentlemen,4.1872393121493605
public,4.165649570439842
used,4.143945904413961
wish,4.138616394184564
opportunity,4.000373098276615
cause,3.964810808718247
fight battle,3.9267791750321708
taken,3.892503992313612
nothing,3.8815796384052637
landlords,3.868201627375131
go,3.8181815589793215
respect,3.7890573950308224
another,3.743303904131695
irish party,3.740775782639277
committed,3.719719463590902
enough,3.683160920672594
america,3.6400989983899104
therefore,3.6357918850266784
parties,3.601472656151834
future,3.577562690581544
opinion,3.5496031998639554
cheerfully accepted,3.509582659789569
ability,3.5074863366740567
fortunate,3.3679975236944593
law,3.3058755063652203
speech,3.289301394221677
long,3.2696324460099064
men,3.247695382696035
irish landlords,3.233311193400387
prevent,3.2212126187225434
countries,3.2114471948768943
act,3.2028801500459765
prove,3.113276940342561
favour,3.096720655657253
five,3.0962683402666906
given,3.090360405240206
succeeded,3.0769071235650594
success,3.0716852764347036
free,2.967851723148028
still,2.9594516965612296
political parties,2.9366886192305697
rich,2.9151455882837514
noble,2.8864265661240296
strength,2.844533544936489
sympathy,2.8319788179649654
division,2.8051368496795748
although,2.795091901383304
solution,2.7227454042034878
prosperity,2.7185187149213097
extent,2.700583074130712
poor,2.6278385706072527
constitution,2.5846826216502894
knew,2.568745661933056
offences,2.5191267083653424
powers,2.5085245741280793
fought,2.5047857474721074
money,2.4860167681325653
honest,2.4651821551593667
war,2.4605757623456324
look,2.443827701344625
greater,2.410829578234207
proud,2.3895524656374993
six,2.3675354587703206
interests,2.2917952103732686
months,2.265512144768317
nation,2.2539712445700886
address,2.2251462468378085
succeed,2.2101635822395873
found,2.2014246485913738
irishman,2.156184518211697
whole,2.1167508102662604
able,2.0913529362043155
even,2.0
take,1.948299479961362
without,1.9411045232087967
among,1.8968780452040033
felt,1.8907749511888743
wrong,1.8892385157956832
want,1.8236060431665946
perhaps,1.8222085889461268
strong,1.7919422307491264
magnificent,1.6464200983067663
continue,1.598149243193668
abuse,1.5395966455812375
sometimes,1.539445956702806
beyond,1.4730074285322141
possible,1.451666642942376
land,1.4273885920273506
fair,1.3962805878235804
suffering,1.3945525564961758
convinced,1.388746242225107
work,1.3832821307299523
government,1.3218784423549643
crime,1.2989833704050655
years,1.2850572746664184
greatest,1.2735906410020055
place,1.1303333258179393
county,1.0172989125898197
minister,1.0049087969753558
control,1.0
deal,1.0
times,0.96549199509365
confidence,0.8970390510636503
relief,0.8746860187059957
irishmen,0.7967773221371862
parts,0.6758549521524887
true,0.6721667234719809
system,0.6653190114569176
effect,0.6108120102019812
tenant,0.6034777575837892
stand,0.5888899581674839
struggle,0.5714930520879057
victory,0.5075971215746241
trust,0.40429321342980196
longer,0.3948648278307898
tenants,0.3759647938543511
help,0.3069416935545683
