term,score
night,1.7220498281151033
constitution,1.6992515428826784
division,1.4618955649905625
gentlemen,1.3971384752802065
life,1.2087359304326077
home rule,1.065150659567998
rule,1.0187567461579554
times,0.9407276049811469
home,0.9251793635079643
taken,0.8642062593031242
english,0.7567546411863791
meeting,0.7335439778899393
history,0.670774965129072
long,0.6516451761736239
justice,0.5979070508244002
years,0.584285182282264
duty,0.5750763689464065
confidence,0.5283687020869934
parnell,0.4963116448058731
true,0.49487323185207266
speech,0.4902743329866591
cause,0.4822828812485308
country,0.4568060550402913
ireland,0.26083335694292004
party,0.1862786078418892
