term,score
ireland,45.48064036
land,29.33830144
government,26.37882661
parnell,25.54978253
people,24.97067774
landlords,19.76779486
system,19.64824819
bill,18.88760317
irish,17.24373402
right,16.79869429
question,16.61225736
money,16.17571685
time,14.73925129
tenants,14.24459337
proposed,13.82227846
america,11.66657803
act,10.63927917
wished,10.27629837
committee,10.24617001
country,9.548746334
two,9.461692241
years,9.258765546
asked,8.7958518
take,8.762149498
clause,8.756651854
pay,8.45545441
relief,8.374566395
law,8.278792064
position,8.23245263
go,8.053616297
new,7.976058824
rent,7.930850532
english,7.888818452
work,7.660935285
men,7.491077131
given,7.370195851
state,7.306787516
public,7.259292804
without,7.225207565
chief secretary,7.153349257
tenant,7.05097445
order,7.038420253
chief,7.038246995
per,6.921702508
secretary,6.864782669
purpose,6.835810869
already,6.803951998
therefore,6.742124584
information,6.630541217
next,6.315269004
matter,6.190093961
second,6.135759493
rents,6.022984338
amendment,5.991333614
five,5.749445503
found,5.572341343
every,5.501927872
words,5.473725101
taken,5.46427805
gentlemen,5.453091186
ought,5.192894334
nothing,5.183386702
england,5.157555926
make,5.135903227
statement,5.131994994
land question,5.112482895
large,5.066287188
reason,5.018895843
motion,5.008683142
left,4.99063834
another,4.954821739
farmers,4.931388265
subject,4.867621334
funds,4.807754475
parliament,4.765259367
case,4.745855118
rights,4.744106788
possible,4.713824272
impossible,4.704981744
forward,4.701608872
first,4.692783296
business,4.633158433
stand,4.628098838
perhaps,4.620345803
gave,4.491681476
opinion,4.424392461
west,4.407687756
notice,4.325794054
hands,4.301694305
man,4.244804241
duty,4.101225669
year,4.085529107
reference,4.039452701
necessary,3.951867247
point,3.941493765
day,3.888245119
prevent,3.883398284
get,3.844828883
consideration,3.826176526
late,3.780553627
find,3.747515279
discussion,3.70472326
even,3.685646669
obtain,3.566572913
character,3.479590657
meath,3.479412564
lord,3.42590556
counties,3.404795612
vote,3.39763201
number,3.357129845
far,3.339830319
county,3.337450411
result,3.330850813
circumstances,3.241522541
anything,2.986232338
proceedings,2.963107926
action,2.947519012
settlement,2.937568784
force,2.909513823
long,2.851049503
fact,2.800154984
believed,2.749990106
return,2.728150384
wanted,2.721090275
prime,2.675359116
affairs,2.625662068
appeared,2.540456623
leave,2.518941347
legislature,2.516583568
minister,2.512921151
power,2.498482666
separate,2.484050259
place,2.451778176
within,2.395763336
whole,2.369049155
local,2.315306385
prime minister,2.302974742
office,2.235987738
purchase,2.235726352
took,2.107986263
dublin,2.102595872
cannot,2.099814595
although,2.043134601
night,2.038893867
times,1.990337766
want,1.954948188
irish people,1.946138337
imperial,1.935007489
still,1.896063859
things,1.872174214
read,1.850418064
explained,1.777223099
twenty,1.689748006
thing,1.68702674
several,1.654573496
irish landlords,1.547869758
always,1.534008384
general,1.529969481
scarcely,1.465383007
catholic,1.445689667
back,1.328275296
voted,1.269634519
leaving,1.231710206
opposition,1.217580611
evening,1.210953224
home,1.115292871
measure,1.093265038
east,1.041676578
galway,1
got,0.90450128
constitution,0.867233841
division,0.796858522
voice,0.769091869
future,0.697730207
explain,0.659943672
chairman,0.604762821
liverpool,0.590659908
seen,0.491552988
franchise,0.486021739
addressed,0.457204153
resolution,0.446590899
body,0.432398352
attempted,0.424960259
meeting,0.383670247
control,0.339354635
everything,0.33778363
speech,0.294736045
rule,0.199767362
