term,score
ireland,23.52514773
people,18.66638676
famine,16.0697896
government,14.15902817
distress,12.93675686
relief,11.15096306
country,10.99108458
system,9.909273479
land,9.660623582
help,9.092636349
poor,8.629174705
irish,8.30742925
famines,7.733149419
landlords,7.409529758
good,6.871603638
sympathy,6.796562869
suffering,6.65045616
remarkable,6.56604077
starvation,6.538504604
cause,6.26847881
tenants,6.227894657
america,5.906719733
time,5.315896685
noble,4.982462909
take,4.765452222
respect,4.598762306
question,4.378273837
parnell,4.342753695
work,4.182543916
advice,4.152582725
lord,4.009452966
wish,3.897248209
opportunity,3.690202632
matter,3.652898246
still,3.553685018
fair,3.540130379
law,3.432237737
knew,3.418666305
irish people,3.361539048
gentlemen,3.311953445
greatest,3.311459311
friend,3.301535208
money,3.30134711
rich,3.294954257
like,3.23046141
taken,3.22142677
extent,3.143661054
day,3.136224636
TRUE,3.126767905
desire,3.114230605
english,2.981794075
deal,2.957318914
stand,2.931721719
possible,2.92721264
proud,2.879056454
public,2.872537248
two,2.862546728
want,2.833297452
tenant,2.829737568
justice,2.815188439
without,2.786524295
perfectly,2.764169023
place,2.742017262
fear,2.732289851
act,2.643686296
england,2.617594058
months,2.5921246
therefore,2.533457158
although,2.469211932
always,2.43765796
continue,2.409684121
parts,2.340704061
years,2.295588844
outrages,2.25381083
prison,2.24598793
bill,2.199542219
meeting,2.138602448
every,2.097307182
opinion,2.096793559
success,2.077075128
history,2.074552675
far,2.061015562
committed,2.056513261
able,2.038388264
solution,2.031300893
even,1.993678666
war,1.915644917
men,1.901301627
point,1.875022188
felt,1.841106143
fact,1.813819753
times,1.792578372
measure,1.770514115
another,1.757164823
given,1.749540216
greater,1.734979843
found,1.728021912
minister,1.726915859
interests,1.666284139
cannot,1.641235176
meath,1.612728395
look,1.597208232
power,1.548344822
free,1.498627789
wrong,1.496227768
long,1.454397929
hoped,1.426287951
five,1.396544027
united,1.390899095
circumstances,1.370218711
succeed,1.364097016
strength,1.360914436
peace,1.313659214
right,1.306739327
county,1.284614498
hope,1.272366468
prosperity,1.26354382
protection,1.185900578
magnificent,1.17240484
crime,1.16122537
party,1.14392939
political,1.120471755
nothing,1.118189748
doubt,1.072164503
thing,1.069730513
longer,1.062999146
voice,1
confidence,1
speech,1
trust,0.99931652
victory,0.94449167
six,0.917590725
whole,0.881836175
used,0.881031418
prevent,0.879359393
small,0.859843458
entered,0.788882068
countries,0.78197002
corner,0.779846288
galway,0.777200278
fight,0.775226452
settlement,0.7549186
among,0.737414075
perhaps,0.724893784
abuse,0.713743939
irish landlords,0.702523466
violent,0.698222842
prisoners,0.63706584
join,0.568222762
allow,0.563227364
parliament,0.561109156
constitution,0.542609277
nation,0.487087366
accepted,0.481087539
result,0.47206309
division,0.467647502
satisfaction,0.455887917
happy,0.430396548
danger,0.427494252
convinced,0.41488306
battle,0.409595703
succeeded,0.404995342
successful,0.400212496
ability,0.398569646
irishmen,0.39613237
effect,0.385563964
back,0.383239615
struggle,0.372167222
innocent,0.348242629
cheerfully,0.298389516
strong,0.298389516
