year,term,score
1876,day,1
1876,parnell,1
1876,parnell,1
1876,parnell,1
1876,opinion,1
1876,parnell,1
1876,therefore,1
1876,parnell,1
1876,ireland,1
1876,friend,1
1876,knew,1
1876,longer,1
1876,irish,1
1876,parnell,1
1876,poor,1
1876,even,1
1876,address,1
1876,fought,0.850877677
1876,meath,0.841949689
1876,favour,0.830438963
1876,small,0.807221144
1876,irishman,0.767268635
1876,perhaps,0.753709815
1876,doubt,0.748611158
1876,although,0.740248415
1876,times,0.735380667
1876,prison,0.729137532
1876,parties,0.722912848
1876,parties,0.722912848
1876,men,0.714573476
1876,two,0.699560396
1876,meath,0.690939226
1876,meath,0.690939226
1876,prisoners,0.684367197
1876,fought,0.680361405
1876,irish,0.679075465
1876,strength,0.677654244
1876,like,0.674553757
1876,given,0.672730824
1876,voice,0.672333461
1876,parts,0.670712646
1876,gentlemen,0.663009302
1876,matter,0.657207361
1876,fought,0.648142458
1876,fought,0.645838445
1876,fact,0.641325847
1876,prison,0.638504077
1876,fact,0.631072249
1876,fact,0.631072249
1876,fact,0.631072249
1876,english,0.628770213
1876,prisoners,0.62302713
1876,political,0.61339733
1876,even,0.609707901
1876,hoped,0.609055709
1876,hoped,0.609055709
1876,protection,0.604450043
1876,prisoners,0.599298796
1876,taken,0.593509538
1876,measure,0.593509538
1876,england,0.592755132
1876,minister,0.590792359
1876,parnell,0.590249121
1876,spirit,0.58771522
1876,still,0.583263177
1876,prisoners,0.577572286
1876,effect,0.576384003
1876,minister,0.575363833
1876,continue,0.565783108
1876,spirit,0.560061762
1876,among,0.559758672
1876,parts,0.559507565
1876,prison,0.557466103
1876,parnell,0.55710962
1876,confidence,0.556648305
1876,fought,0.551464104
1876,fair,0.549343943
1876,fair,0.549343943
1876,fair,0.549343943
1876,government,0.548202397
1876,two,0.543592546
1876,people,0.53955604
1876,hope,0.536525977
1876,committed,0.535263653
1876,minister,0.527270478
1876,government,0.524572149
1876,government,0.524572149
1876,government,0.524572149
1876,prison,0.523681878
1876,back,0.523681878
1876,effect,0.515190522
1876,prisoners,0.509572385
1876,system,0.508823902
1876,system,0.508823902
1876,years,0.50875365
1876,years,0.50875365
1876,years,0.50875365
1876,doubt,0.508233285
1876,even,0.502793398
1876,political,0.501696195
1876,prison,0.498249176
1876,strong,0.497527454
1876,parnell,0.496897747
1876,doubt,0.496537171
1876,doubt,0.496537171
1876,doubt,0.496537171
1876,prisoners,0.491526884
1876,crime,0.488885888
1876,greater,0.488885888
1876,crime,0.488885888
1876,greater,0.488885888
1876,crime,0.488885888
1876,greater,0.488885888
1876,prisoners,0.487214078
1876,matter,0.48537694
1876,parnell,0.485366779
1876,longer,0.485322992
1876,power,0.483379029
1876,england,0.482859707
1876,prisoners,0.482026242
1876,prisoners,0.481810006
1876,men,0.48176875
1876,opportunity,0.479614121
1876,england,0.478934141
1876,minister,0.477369657
1876,good,0.475406403
1876,fact,0.474539077
1876,fact,0.471646862
1876,parliament,0.470798338
1876,fair,0.467917334
1876,england,0.465354489
1876,stand,0.465258505
1876,stand,0.465258505
1876,stand,0.465258505
1876,prison,0.461308117
1876,prison,0.461308117
1876,prison,0.461308117
1876,english,0.458165803
1876,prison,0.457946202
1876,day,0.457008349
1876,england,0.45625391
1876,england,0.454632021
1876,crime,0.454145369
1876,day,0.452142142
1876,man,0.451674979
1876,man,0.451674979
1876,man,0.451674979
1876,government,0.450779193
1876,government,0.450779193
1876,government,0.44737041
1876,innocent,0.445416568
1876,crime,0.445416568
1876,innocent,0.445416568
1876,crime,0.445416568
1876,innocent,0.445416568
1876,crime,0.445416568
1876,time,0.443160816
1876,friend,0.441616284
1876,perfectly,0.439740085
1876,place,0.439740085
1876,perfectly,0.439740085
1876,place,0.439740085
1876,perfectly,0.439740085
1876,place,0.439740085
1876,united,0.437857868
1876,years,0.433343545
1876,prisoners,0.432982982
1876,prisoners,0.432982982
1876,prisoners,0.432982982
1876,parts,0.43164414
1876,fact,0.430624925
1876,parts,0.427167216
1876,strength,0.424224361
1876,fought,0.421026275
1876,among,0.416483839
1876,men,0.413154556
1876,irishman,0.410496482
