term,score
right,42.15768295
ireland,27.40882548
irish,23.44394891
bill,22.29366766
question,21.34605137
oshea,17.13685704
galway,16.71177126
people,16.5346017
lynch,15.13335384
years,14.2442749
parnell,13.64516901
parliament,12.94099342
lord,12.66811258
speech,12.35144015
ulster,12.31888477
country,12.28321776
day,12.03791872
go,11.91363888
order,10.6889741
matter,9.424072773
night,9.266143304
explained,9.182491253
per,8.932761766
vote,8.738402509
protestants,8.660125473
settlement,8.627018719
first,8.482010639
nothing,8.38290603
point,8.381092408
man,8.32943305
consideration,8.24809341
two,8.239432342
time,8.181008651
duty,7.946727663
things,7.914726976
even,7.896282279
withdrawn,7.851755152
voted,7.85086217
east,7.534268761
left,7.498050638
measure,7.35162948
men,7.344592025
captain,7.180891387
necessary,6.992554482
far,6.861122348
opinion,6.849570733
act,6.708078282
case,6.700935521
imperial,6.668730112
irish people,6.583414671
still,6.525100422
reason,6.487429469
resolution,6.28080375
seen,6.277894542
leaving,6.191668778
circumstances,6.132242565
action,6.034861377
place,5.978623968
prime,5.973558261
legislature,5.801008679
england,5.756916694
another,5.675574891
separate,5.631431908
control,5.625336648
want,5.61204335
whole,5.600159996
leave,5.554596917
five,5.545024889
reference,5.54150808
land,5.399354964
prime minister,5.354504794
twenty,5.35412591
cannot,5.336928726
power,5.28437958
took,5.232503648
result,5.212723774
dublin,5.21174431
read,5.185429722
minister,5.185178467
division,5.136793302
explain,5.110741737
law,5.108767116
state,5.098489326
local,5.070268289
several,5.054636326
force,5.012108186
scarcely,4.988495002
given,4.888220685
thing,4.844528782
irishman,4.804366402
general,4.797180399
subject,4.723417676
irish landlords,4.688635739
committee,4.687493507
landlords,4.670756501
government,4.655517069
public,4.653538822
meeting,4.574326335
pay,4.561579564
position,4.551568248
every,4.428099492
proposed,4.368624855
year,4.266966414
stand,4.227101409
taken,4.201831807
voice,4.170225668
without,4.151594377
proceedings,4.149683315
office,4.048115153
money,3.96487348
chief,3.933972295
tenants,3.929347532
therefore,3.922455115
late,3.918330736
character,3.872000108
gave,3.826197905
always,3.816372746
party,3.704157207
everything,3.640502267
forward,3.611352125
chief secretary,3.582718616
addressed,3.576147889
possible,3.55955508
education,3.513770811
long,3.498027995
city,3.496176894
catholic,3.466788913
county,3.451120634
secretary,3.438191508
purpose,3.385141737
purchase,3.347946069
words,3.304963543
appeared,3.223470382
return,3.2018196
already,3.190758129
body,3.128354692
prevent,2.808339222
find,2.780475797
second,2.737481369
within,2.58426443
west,2.581533744
gentlemen,2.560301703
impossible,2.535947958
rents,2.530108001
make,2.498976686
number,2.446018651
future,2.398421751
chairman,2.324349186
hands,2.246404836
rent,2.212817706
business,2.152011305
affairs,2.141505893
back,2.133132886
large,2.11175717
fact,2.103653453
work,2.103201086
take,1.914469247
perhaps,1.849243282
english,1.831409964
although,1.825588423
liverpool,1.699080278
opposition,1.687411941
notice,1.540688057
wished,1.522180268
tenant,1.502195206
found,1.435517078
get,1.35653026
rev,1.352525336
evening,1.349218805
land question,1.300062795
counties,1.261227127
clause,1.2117532
attempted,1.16859618
anything,1.073215703
america,1.050356857
constitution,1.021684453
home,0.935114767
franchise,0.799272192
discussion,0.786257486
got,0.677345084
asked,0.629655238
home rule,0.602563325
rule,0.590295951
statement,0.579242408
information,0.571249949
believed,0.525467749
rights,0.493938304
next,0.379647454
ought,0.33263866
farmers,0.3284662
new,0.238059069
