term,combined score,date,score category
parliament,7.999574653680989,1885,unique neutral score
parnell,7.569765407248907,1885,unique neutral score
franchise,7.075133598528493,1885,unique neutral score
city,6.528988470511472,1885,unique neutral score
right,6.50662472496855,1885,unique neutral score
england,6.394564158517983,1885,unique neutral score
liverpool,6.358434259081301,1885,unique neutral score
go,6.153778653995984,1885,unique neutral score
attempted,5.937851821955208,1885,unique neutral score
circumstances,5.7811420076298266,1885,unique neutral score
make,5.473341824447607,1885,unique neutral score
man,5.433742550819087,1885,unique neutral score
government,5.111672815059773,1885,unique neutral score
voice,4.776508483471051,1885,unique neutral score
land,4.461438982388456,1885,unique neutral score
new,4.351360563684661,1885,unique neutral score
things,4.247467649830937,1885,unique neutral score
obtain,4.1821492503155255,1885,unique neutral score
act,4.153452392376388,1885,unique neutral score
stand,4.033154459732848,1885,unique neutral score
constitution,3.952960091520964,1885,unique neutral score
meeting,3.644132929602827,1885,unique neutral score
within,3.604106771027413,1885,unique neutral score
measure,3.422246044714677,1885,unique neutral score
return,3.405180517161184,1885,unique neutral score
settlement,3.4046985804825933,1885,unique neutral score
two,3.2930029179115388,1885,unique neutral score
without,3.2052116294219912,1885,unique neutral score
irish people,3.1880140304171656,1885,unique neutral score
evening,3.155661454195287,1885,unique neutral score
lord,3.0292971411698417,1885,unique neutral score
forward,2.961891702394663,1885,unique neutral score
everything,2.9613217898040167,1885,unique neutral score
consideration,2.959082348134016,1885,unique neutral score
strong,9.976257924372698,1885,unique high sentiment score
irishmen,9.638412043290185,1885,unique high sentiment score
convinced,8.71995868157069,1885,unique high sentiment score
trust,7.474312631730636,1885,unique high sentiment score
near,6.804656948928545,1885,unique high sentiment score
true,6.497956087654306,1885,unique high sentiment score
strength,6.420196419771409,1885,unique high sentiment score
dublin,6.146395232972181,1885,unique high sentiment score
election,6.070048840896856,1885,unique high sentiment score
gone,6.04097581360365,1885,unique high sentiment score
even,6.019666186738213,1885,unique high sentiment score
hand,5.618677329026629,1885,unique high sentiment score
anything,5.359911484239644,1885,unique high sentiment score
cause,5.3444287354970434,1885,unique high sentiment score
existed,5.231784589964795,1885,unique high sentiment score
electors,5.146624962357707,1885,unique high sentiment score
history,5.093155050644722,1885,unique high sentiment score
help,4.997777231196531,1885,unique high sentiment score
general,4.98979099840724,1885,unique high sentiment score
men,4.910739408752713,1885,unique high sentiment score
nothing,4.7941581596639375,1885,unique high sentiment score
parliamentary,4.787743661297822,1885,unique high sentiment score
policy,4.772081967191464,1885,unique high sentiment score
placed,4.769581704125479,1885,unique high sentiment score
parties,4.731760989479925,1885,unique high sentiment score
vote,4.673288246397777,1885,unique high sentiment score
contend,4.48385108031857,1885,unique high sentiment score
duty,4.429716909595676,1885,unique high sentiment score
nation,4.265736257393103,1885,unique high sentiment score
division,4.235845006054996,1885,unique high sentiment score
confidence,4.191502684823748,1885,unique high sentiment score
matter,4.094844037618234,1885,unique high sentiment score
possible,4.030425357965734,1885,unique high sentiment score
power,3.894837220629853,1885,unique high sentiment score
