term,combined score,date,score category
prisoners,8.098059209871986,1876,unique neutral score
prison,6.773459466727003,1876,unique neutral score
england,4.665044504194485,1876,unique neutral score
government,4.179919389795898,1876,unique neutral score
fought,3.7977103629741062,1876,unique neutral score
crime,3.257052735549452,1876,unique neutral score
doubt,3.1514090101501613,1876,unique neutral score
parts,2.7618032341634837,1876,unique neutral score
longer,2.33999077203876,1876,unique neutral score
ireland,2.210278012721272,1876,unique neutral score
minister,2.1707963267870656,1876,unique neutral score
fair,2.115949164327519,1876,unique neutral score
even,2.112501298608775,1876,unique neutral score
political,2.016445509159911,1876,unique neutral score
two,1.627949296101617,1876,unique neutral score
greater,1.4666576627691277,1876,unique neutral score
parties,1.4458256960064837,1876,unique neutral score
friend,1.4416162840998872,1876,unique neutral score
stand,1.3957755155651217,1876,unique neutral score
innocent,1.336249703896241,1876,unique neutral score
perfectly,1.319220256026895,1876,unique neutral score
place,1.319220256026895,1876,unique neutral score
hoped,1.2181114185793385,1876,unique neutral score
deal,1.149758811096518,1876,unique neutral score
spirit,1.1477769826193112,1876,unique neutral score
strength,1.101878605402963,1876,unique neutral score
english,1.086936015679476,1876,unique neutral score
system,1.017647803386684,1876,unique neutral score
irishmen,1.0082069856207987,1876,unique neutral score
therefore,1.0,1876,unique neutral score
poor,1.0,1876,unique neutral score
address,1.0,1876,unique neutral score
opinion,1.0,1876,unique neutral score
knew,1.0,1876,unique neutral score
among,0.9762425113708956,1876,unique neutral score
nothing,0.95628300822825,1876,unique neutral score
satisfaction,0.95628300822825,1876,unique neutral score
question,6.07799644934937,1876,unique high sentiment score
chairman,4.126471364780593,1876,unique high sentiment score
subject,3.880783836204837,1876,unique high sentiment score
taken,3.729883312518916,1876,unique high sentiment score
clause,3.579117963962587,1876,unique high sentiment score
committee,3.475803366195706,1876,unique high sentiment score
motion,3.385568955640996,1876,unique high sentiment score
gave,3.336180973072454,1876,unique high sentiment score
head,3.300505205879047,1876,unique high sentiment score
statement,2.906460533604627,1876,unique high sentiment score
time,2.8703985063866884,1876,unique high sentiment score
power,2.793630600874147,1876,unique high sentiment score
attention,2.7647208802529044,1876,unique high sentiment score
vote,2.4782944833645004,1876,unique high sentiment score
secretary,2.42435512305309,1876,unique high sentiment score
right,2.34815872370656,1876,unique high sentiment score
reference,2.3222514695837844,1876,unique high sentiment score
allowed,2.295051137358512,1876,unique high sentiment score
local,2.290859987251878,1876,unique high sentiment score
appeared,2.123123323256987,1876,unique high sentiment score
county,2.030765730743992,1876,unique high sentiment score
commons,1.8648296913942024,1876,unique high sentiment score
order,1.827553545299042,1876,unique high sentiment score
act,1.825085227413972,1876,unique high sentiment score
several,1.8132853486614569,1876,unique high sentiment score
asked,1.8032221780228757,1876,unique high sentiment score
office,1.658549836250782,1876,unique high sentiment score
home,1.6060085904004142,1876,unique high sentiment score
forward,1.6000721762659516,1876,unique high sentiment score
yet,1.5300506283825444,1876,unique high sentiment score
notice,1.5201723904352482,1876,unique high sentiment score
dublin,1.488850007911613,1876,unique high sentiment score
find,1.484853311418212,1876,unique high sentiment score
wished,1.4636930073123189,1876,unique high sentiment score
votes,1.434167502026124,1876,unique high sentiment score
speech,1.411562302394719,1876,unique high sentiment score
majority,1.3691342848765151,1876,unique high sentiment score
