term,combined score,date,score category
control,4.434877703797756,1875,unique neutral score
given,3.5864318255320984,1875,unique neutral score
war,3.132385530138068,1875,unique neutral score
prisoners,3.007483326853841,1875,unique neutral score
wrong,2.926176052265459,1875,unique neutral score
like,2.8185061083711047,1875,unique neutral score
noble,2.7120857406865246,1875,unique neutral score
political,2.611269192884923,1875,unique neutral score
country,2.592564743789576,1875,unique neutral score
wish,2.434344405512449,1875,unique neutral score
system,2.404686942885245,1875,unique neutral score
good,2.3229716545943613,1875,unique neutral score
day,2.251823972562512,1875,unique neutral score
honest,2.219347041526233,1875,unique neutral score
powers,2.176837878168469,1875,unique neutral score
ability,2.088758493955396,1875,unique neutral score
free,2.071218714264311,1875,unique neutral score
gentlemen,2.057312300844958,1875,unique neutral score
favour,2.0234446712126912,1875,unique neutral score
nation,1.8988054638750296,1875,unique neutral score
strong,1.8284705515070825,1875,unique neutral score
hoped,1.811904536014949,1875,unique neutral score
fair,1.7559749107045537,1875,unique neutral score
peace,1.750791479911883,1875,unique neutral score
cause,1.736395269511273,1875,unique neutral score
speech,1.6525075352281269,1875,unique neutral score
address,1.606381648241828,1875,unique neutral score
party,1.5492315530897656,1875,unique neutral score
greatest,1.5182572376030825,1875,unique neutral score
constitution,1.490235655709458,1875,unique neutral score
success,1.476737786971988,1875,unique neutral score
measure,1.4478251154417423,1875,unique neutral score
succeed,1.4089755512196251,1875,unique neutral score
back,1.3989505351176643,1875,unique neutral score
time,8.933794289650212,1875,unique high sentiment score
resolution,8.056675466718708,1875,unique high sentiment score
right,7.34162102707558,1875,unique high sentiment score
home,6.333794562235712,1875,unique high sentiment score
motion,5.940148555594857,1875,unique high sentiment score
rights,5.830497324626747,1875,unique high sentiment score
rule,5.636252752903295,1875,unique high sentiment score
rev,5.460991570375716,1875,unique high sentiment score
committee,4.887379266393404,1875,unique high sentiment score
believed,4.876176650818078,1875,unique high sentiment score
take,4.75250929545427,1875,unique high sentiment score
evening,4.5509388946400975,1875,unique high sentiment score
circumstances,4.477356705715859,1875,unique high sentiment score
militia,4.393754159804324,1875,unique high sentiment score
dublin,4.35636152503212,1875,unique high sentiment score
without,4.077961920986942,1875,unique high sentiment score
able,4.058951662475634,1875,unique high sentiment score
parliament,3.979753733958021,1875,unique high sentiment score
attend,3.876674859059496,1875,unique high sentiment score
days,3.844082910413044,1875,unique high sentiment score
two,3.634834462148224,1875,unique high sentiment score
chairman,3.618564845247853,1875,unique high sentiment score
first,3.609058095704421,1875,unique high sentiment score
forward,3.581518430941943,1875,unique high sentiment score
long,3.4616948285157907,1875,unique high sentiment score
years,3.4370523674165057,1875,unique high sentiment score
john,3.4281737770589307,1875,unique high sentiment score
appeared,3.3503147952878622,1875,unique high sentiment score
nothing,3.0903751181554,1875,unique high sentiment score
duty,3.0668045542211027,1875,unique high sentiment score
get,3.052156008509096,1875,unique high sentiment score
notice,2.9275553519134783,1875,unique high sentiment score
reason,2.9166893619847727,1875,unique high sentiment score
commons,2.913218129137734,1875,unique high sentiment score
