term,combined score,date,score category
resolution,6.830628010456017,1875,unique neutral score
meath,6.258764845159949,1875,unique neutral score
matter,5.758448549824252,1875,unique neutral score
right,5.306518674273649,1875,unique neutral score
constitution,4.979010624867752,1875,unique neutral score
committee,4.469964332933246,1875,unique neutral score
circumstances,4.40656523050772,1875,unique neutral score
addressed,4.289680254856583,1875,unique neutral score
long,4.268092504605249,1875,unique neutral score
reason,4.260940767172596,1875,unique neutral score
evening,4.202210196416615,1875,unique neutral score
funds,4.173441861028702,1875,unique neutral score
meeting,4.054855551347854,1875,unique neutral score
wanted,4.054574528861324,1875,unique neutral score
rev,3.851178073840378,1875,unique neutral score
amendment,3.79221239722051,1875,unique neutral score
counties,3.718088719541439,1875,unique neutral score
measure,3.5465979011680338,1875,unique neutral score
nothing,3.4740262301170644,1875,unique neutral score
take,3.39861387567652,1875,unique neutral score
two,3.3707939703242977,1875,unique neutral score
motion,3.3576665521352167,1875,unique neutral score
next,3.100413852261517,1875,unique neutral score
want,3.092181171708058,1875,unique neutral score
chairman,3.0625157531853566,1875,unique neutral score
rights,2.993965626727428,1875,unique neutral score
believed,2.779641769768795,1875,unique neutral score
catholic,2.70841409820886,1875,unique neutral score
control,2.690633972687922,1875,unique neutral score
go,2.6436987706347974,1875,unique neutral score
without,2.6121114930466973,1875,unique neutral score
tenant,5.689518245017432,1875,unique high sentiment score
county,5.5546783204490655,1875,unique high sentiment score
true,4.226505001373929,1875,unique high sentiment score
given,3.7988198966690687,1875,unique high sentiment score
interest,3.652012017769988,1875,unique high sentiment score
national,3.2966296481445543,1875,unique high sentiment score
strong,2.8281459426372,1875,unique high sentiment score
cause,2.811341701453146,1875,unique high sentiment score
strength,2.783709814449531,1875,unique high sentiment score
forward,2.565138939091946,1875,unique high sentiment score
political,2.482087260366768,1875,unique high sentiment score
self,2.3397835769781223,1875,unique high sentiment score
good,2.182350324370592,1875,unique high sentiment score
tenants,2.174395653051154,1875,unique high sentiment score
old,2.13481116568999,1875,unique high sentiment score
system,2.1220320590710644,1875,unique high sentiment score
gentlemen,2.05977505921627,1875,unique high sentiment score
entitled,2.0332314368940096,1875,unique high sentiment score
wish,2.002824675289742,1875,unique high sentiment score
question,1.877167244904898,1875,unique high sentiment score
prison,1.873102802350512,1875,unique high sentiment score
land,1.8708378354700657,1875,unique high sentiment score
every,1.8034615141293824,1875,unique high sentiment score
interests,1.7820721051001147,1875,unique high sentiment score
secretary,1.7806785142156882,1875,unique high sentiment score
heart,1.717899594102235,1875,unique high sentiment score
still,1.701039079607754,1875,unique high sentiment score
make,1.6526697288472634,1875,unique high sentiment score
ability,1.6132361921792766,1875,unique high sentiment score
opportunity,1.5557197230708089,1875,unique high sentiment score
purpose,1.532644349628879,1875,unique high sentiment score
