term,combined score,date,score category
famine,16.0697896042743,1880,unique neutral score
distress,12.936756857537144,1880,unique neutral score
relief,11.150963058861048,1880,unique neutral score
help,9.09263634925784,1880,unique neutral score
poor,8.629174704927259,1880,unique neutral score
famines,7.733149418535902,1880,unique neutral score
good,6.871603637846145,1880,unique neutral score
sympathy,6.796562868811623,1880,unique neutral score
suffering,6.6504561604849535,1880,unique neutral score
remarkable,6.56604076973498,1880,unique neutral score
starvation,6.538504603963656,1880,unique neutral score
cause,6.268478809795769,1880,unique neutral score
america,5.906719733304529,1880,unique neutral score
noble,4.982462909020692,1880,unique neutral score
respect,4.598762305726466,1880,unique neutral score
work,4.182543915544829,1880,unique neutral score
advice,4.152582724726302,1880,unique neutral score
lord,4.009452966054852,1880,unique neutral score
wish,3.8972482089904488,1880,unique neutral score
opportunity,3.690202632316916,1880,unique neutral score
matter,3.652898246145961,1880,unique neutral score
still,3.553685017725765,1880,unique neutral score
fair,3.5401303787373792,1880,unique neutral score
law,3.432237736929736,1880,unique neutral score
knew,3.4186663045132937,1880,unique neutral score
irish people,3.361539047973885,1880,unique neutral score
gentlemen,3.311953445487343,1880,unique neutral score
greatest,3.3114593114735094,1880,unique neutral score
friend,3.3015352075531563,1880,unique neutral score
rich,3.294954257493424,1880,unique neutral score
like,3.2304614096793127,1880,unique neutral score
extent,3.1436610542530863,1880,unique neutral score
day,3.136224635893246,1880,unique neutral score
true,3.126767905374128,1880,unique neutral score
desire,3.1142306049093325,1880,unique neutral score
bill,25.075604324749182,1880,unique high sentiment score
right,19.411109074435306,1880,unique high sentiment score
act,16.718293380817713,1880,unique high sentiment score
committee,14.595290193523212,1880,unique high sentiment score
proposed,14.02658602928311,1880,unique high sentiment score
wished,13.755281152719885,1880,unique high sentiment score
clause,12.10145592178957,1880,unique high sentiment score
two,11.680796141783286,1880,unique high sentiment score
new,11.50239979051975,1880,unique high sentiment score
years,10.947482906668752,1880,unique high sentiment score
position,10.81931047664253,1880,unique high sentiment score
make,10.571400741336916,1880,unique high sentiment score
go,10.063108050238384,1880,unique high sentiment score
public,9.667362807839869,1880,unique high sentiment score
tenant,9.525477310786163,1880,unique high sentiment score
works,9.304389370544662,1880,unique high sentiment score
asked,9.290027638808674,1880,unique high sentiment score
given,9.076428478367715,1880,unique high sentiment score
state,8.766241978399982,1880,unique high sentiment score
rent,8.659986621970532,1880,unique high sentiment score
order,8.599172337910334,1880,unique high sentiment score
chief,8.531287759390386,1880,unique high sentiment score
chief secretary,8.46707796632617,1880,unique high sentiment score
police,8.235079036452216,1880,unique high sentiment score
found,8.169855293479277,1880,unique high sentiment score
per,8.135780743261016,1880,unique high sentiment score
landlord,8.092275964546019,1880,unique high sentiment score
secretary,8.061296231815103,1880,unique high sentiment score
church,7.871550496245716,1880,unique high sentiment score
notice,7.856507606583767,1880,unique high sentiment score
english,7.667123475399179,1880,unique high sentiment score
pay,7.558556239936266,1880,unique high sentiment score
paid,7.48999943913252,1880,unique high sentiment score
purpose,7.3334886445871,1880,unique high sentiment score
motion,7.174662559523658,1880,unique high sentiment score
