term,combined score,date,score category
years,14.244274896866465,1886,unique neutral score
lord,12.6681125817369,1886,unique neutral score
go,11.913638881942466,1886,unique neutral score
order,10.688974102167736,1886,unique neutral score
matter,9.424072772972451,1886,unique neutral score
night,9.266143303735372,1886,unique neutral score
explained,9.18249125311416,1886,unique neutral score
per,8.932761765808516,1886,unique neutral score
vote,8.73840250868982,1886,unique neutral score
protestants,8.66012547325218,1886,unique neutral score
nothing,8.382906029962367,1886,unique neutral score
point,8.381092408285195,1886,unique neutral score
consideration,8.24809340950313,1886,unique neutral score
duty,7.946727663161365,1886,unique neutral score
things,7.91472697617929,1886,unique neutral score
even,7.896282278547146,1886,unique neutral score
withdrawn,7.85175515150656,1886,unique neutral score
voted,7.850862170133952,1886,unique neutral score
east,7.534268760930806,1886,unique neutral score
left,7.498050637790274,1886,unique neutral score
men,7.344592024872636,1886,unique neutral score
captain,7.180891387061826,1886,unique neutral score
necessary,6.9925544816591625,1886,unique neutral score
far,6.861122347699627,1886,unique neutral score
opinion,6.849570733102714,1886,unique neutral score
act,6.708078281980003,1886,unique neutral score
imperial,6.668730111674964,1886,unique neutral score
party,15.153136867735286,1886,unique high sentiment score
result,12.8300028826252,1886,unique high sentiment score
fact,12.487642216808046,1886,unique high sentiment score
england,12.38931188915143,1886,unique high sentiment score
every,11.226435658208896,1886,unique high sentiment score
days,10.197012281369078,1886,unique high sentiment score
plan,10.195362821580613,1886,unique high sentiment score
circumstances,9.464833811850252,1886,unique high sentiment score
spirit,9.351731980812486,1886,unique high sentiment score
peace,9.311700386859918,1886,unique high sentiment score
power,9.148020774863976,1886,unique high sentiment score
cheerfully,8.858250731674376,1886,unique high sentiment score
future,8.600232832228388,1886,unique high sentiment score
conservative,8.108374193014095,1886,unique high sentiment score
like,7.977171410383708,1886,unique high sentiment score
legislature,7.932864552055765,1886,unique high sentiment score
accepted,7.653429760041069,1886,unique high sentiment score
able,7.499784559348169,1886,unique high sentiment score
landlords,7.463657254560189,1886,unique high sentiment score
constituency,7.296836671891242,1886,unique high sentiment score
satisfaction,7.283271051626636,1886,unique high sentiment score
conservative party,7.151215280696642,1886,unique high sentiment score
minority,7.0864198614210165,1886,unique high sentiment score
cause,7.026954224483551,1886,unique high sentiment score
happy,7.024466791997564,1886,unique high sentiment score
entirely,6.900460842574303,1886,unique high sentiment score
gained,6.8953674989555935,1886,unique high sentiment score
