term,combined score,date,score category
party,11.96467269716474,1886,unique neutral score
every,10.043431328325257,1886,unique neutral score
fact,9.631227616823434,1886,unique neutral score
minority,7.818878588232888,1886,unique neutral score
fear,7.688381553708749,1886,unique neutral score
cannot,7.582683655563628,1886,unique neutral score
extraordinary,7.437644900597022,1886,unique neutral score
desire,7.340160059835487,1886,unique neutral score
measure,7.309914964317866,1886,unique neutral score
remarkable,7.0647338573924525,1886,unique neutral score
small,7.040070133978699,1886,unique neutral score
violent,6.733558562321939,1886,unique neutral score
spirit,6.506782031784771,1886,unique neutral score
good,6.489050455014735,1886,unique neutral score
always,6.437484766153,1886,unique neutral score
back,6.285322641405083,1886,unique neutral score
battle,6.270915809338057,1886,unique neutral score
coercion,6.190803915769696,1886,unique neutral score
corner,5.966110468163519,1886,unique neutral score
settlement,5.861619265093808,1886,unique neutral score
thing,5.8406917966329726,1886,unique neutral score
circumstances,5.826473151304647,1886,unique neutral score
outrages,5.693303962315789,1886,unique neutral score
admit,5.627770682815814,1886,unique neutral score
power,5.606870545148012,1886,unique neutral score
cheerfully,5.483757669732791,1886,unique neutral score
successful,5.441430591564577,1886,unique neutral score
englishmen,5.406262710640219,1886,unique neutral score
accepted,5.39800237389206,1886,unique neutral score
friend,5.335146233915204,1886,unique neutral score
danger,5.137454931279465,1886,unique neutral score
like,5.128419321937032,1886,unique neutral score
voice,5.114121184665464,1886,unique neutral score
ulster,21.820039801366992,1886,unique high sentiment score
years,20.12082080537083,1886,unique high sentiment score
order,14.34571879640308,1886,unique high sentiment score
go,13.6946151200879,1886,unique high sentiment score
speech,12.313125517887888,1886,unique high sentiment score
imperial,11.346977347668936,1886,unique high sentiment score
explained,11.32717095740403,1886,unique high sentiment score
first,11.149672232430538,1886,unique high sentiment score
protestants,11.08425022688128,1886,unique high sentiment score
consideration,10.567693093221262,1886,unique high sentiment score
forward,10.110794027907676,1886,unique high sentiment score
time,9.95639403168921,1886,unique high sentiment score
separate,9.899150024464133,1886,unique high sentiment score
nationalists,9.637538048299277,1886,unique high sentiment score
east,9.603100842688436,1886,unique high sentiment score
voted,9.577373005999512,1886,unique high sentiment score
vote,9.463804119265044,1886,unique high sentiment score
night,9.047074835022167,1886,unique high sentiment score
mind,9.04575415210525,1886,unique high sentiment score
poll,8.803442108729811,1886,unique high sentiment score
duty,8.792529185916047,1886,unique high sentiment score
five,8.696996804363701,1886,unique high sentiment score
whole,8.696649881965582,1886,unique high sentiment score
head,8.636497101911537,1886,unique high sentiment score
catholic,8.634040350375324,1886,unique high sentiment score
protestant,8.448020755975701,1886,unique high sentiment score
irish people,8.1886171051029,1886,unique high sentiment score
left,8.12905083117003,1886,unique high sentiment score
even,8.08120882707483,1886,unique high sentiment score
per,8.067414450872452,1886,unique high sentiment score
local,8.017628491900577,1886,unique high sentiment score
opinion,7.974150565957261,1886,unique high sentiment score
things,7.9725155570501665,1886,unique high sentiment score
