term,combined score,date,score category
fact,5.455978321956694,1876,unique neutral score
chairman,5.319098247975266,1876,unique neutral score
got,4.978787084648386,1876,unique neutral score
irishman,4.961767914995399,1876,unique neutral score
vote,4.453042378987567,1876,unique neutral score
gave,3.2756297758108097,1876,unique neutral score
believed,3.1830267180416927,1876,unique neutral score
subject,3.1499805477277274,1876,unique neutral score
meath,2.9729904577020845,1876,unique neutral score
country,2.7493941113348037,1876,unique neutral score
county,2.5952232798944044,1876,unique neutral score
committee,2.5360060844312216,1876,unique neutral score
statement,2.517142981909277,1876,unique neutral score
power,2.5169152543430817,1876,unique neutral score
catholic,2.4954088494669504,1876,unique neutral score
clause,2.4742573038602376,1876,unique neutral score
found,2.439013736468,1876,unique neutral score
act,2.302357048359348,1876,unique neutral score
wished,2.1620923502468443,1876,unique neutral score
prevent,2.15532362967758,1876,unique neutral score
asked,2.1368944592974657,1876,unique neutral score
proceedings,2.024150040679916,1876,unique neutral score
opinion,2.0,1876,unique neutral score
therefore,2.0,1876,unique neutral score
several,1.8266297765749429,1876,unique neutral score
first,1.6662878293313217,1876,unique neutral score
year,1.6108479372127305,1876,unique neutral score
night,1.5254440639461049,1876,unique neutral score
office,1.408646981093393,1876,unique neutral score
lord,1.3696602370336506,1876,unique neutral score
prison,9.411220314495528,1876,unique high sentiment score
prisoners,7.0169143551002975,1876,unique high sentiment score
evidence,6.527897686675918,1876,unique high sentiment score
given,2.730196328792862,1876,unique high sentiment score
fair,2.697891279191889,1876,unique high sentiment score
american,2.608198438907087,1876,unique high sentiment score
prime minister,2.4109562816117154,1876,unique high sentiment score
prime,2.3931126752887413,1876,unique high sentiment score
minister,2.3931126752887413,1876,unique high sentiment score
long,2.279455234714158,1876,unique high sentiment score
state,2.1978397585064604,1876,unique high sentiment score
take,2.1899325958304,1876,unique high sentiment score
longer,2.004326560783553,1876,unique high sentiment score
greater,1.610082566237369,1876,unique high sentiment score
perhaps,1.4546138935324753,1876,unique high sentiment score
home rule,1.4491822098089249,1876,unique high sentiment score
political,1.4003325772292563,1876,unique high sentiment score
england,1.4001046180985608,1876,unique high sentiment score
rule,1.3860613420205896,1876,unique high sentiment score
even,1.1035662077981243,1876,unique high sentiment score
measure,1.028130133810647,1876,unique high sentiment score
proposed,1.0,1876,unique high sentiment score
bring,0.993538391932627,1876,unique high sentiment score
purpose,0.971685720472598,1876,unique high sentiment score
together,0.9663675325087184,1876,unique high sentiment score
satisfaction,0.8967061179695464,1876,unique high sentiment score
people,0.8824945278345047,1876,unique high sentiment score
interest,0.8570382583377668,1876,unique high sentiment score
case,0.8494478523910097,1876,unique high sentiment score
irishmen,0.8354028465105189,1876,unique high sentiment score
