term,combined score,date,score category
victory,6.5791755217402965,1885,unique neutral score
party,6.264758578981253,1885,unique neutral score
act,5.780147033207887,1885,unique neutral score
struggle,5.147484763075705,1885,unique neutral score
trust,5.077163464338199,1885,unique neutral score
remarkable,4.563000331591991,1885,unique neutral score
nothing,4.212694973617149,1885,unique neutral score
far,4.108564496971012,1885,unique neutral score
interests,4.023089531263173,1885,unique neutral score
irishmen,3.984491976553008,1885,unique neutral score
desire,3.9528647361079376,1885,unique neutral score
coercion,3.4660566899207925,1885,unique neutral score
times,3.3900541871513594,1885,unique neutral score
strong,3.321790975268176,1885,unique neutral score
even,3.224407967084979,1885,unique neutral score
tenant,3.142256277652756,1885,unique neutral score
true,3.0457535500283397,1885,unique neutral score
success,2.990961423526108,1885,unique neutral score
voice,2.9874163850548525,1885,unique neutral score
hope,2.8605441822866537,1885,unique neutral score
strength,2.8457749929738148,1885,unique neutral score
found,2.6854862024924127,1885,unique neutral score
cannot,2.683899256017204,1885,unique neutral score
beyond,2.58752344528636,1885,unique neutral score
sometimes,2.58752344528636,1885,unique neutral score
whole,2.555117724160925,1885,unique neutral score
history,2.493420134380176,1885,unique neutral score
possible,2.4316707793954744,1885,unique neutral score
confidence,2.4117867739199137,1885,unique neutral score
matter,2.215302516578604,1885,unique neutral score
felt,2.153478145084878,1885,unique neutral score
doubt,2.133850144614625,1885,unique neutral score
every,2.111771074140994,1885,unique neutral score
cause,2.0454933481478204,1885,unique neutral score
prosperity,2.0448447793161697,1885,unique neutral score
outrages,2.021215296371445,1885,unique neutral score
another,2.00869767206327,1885,unique neutral score
cork,11.425603371927073,1885,unique high sentiment score
two,8.275566334216824,1885,unique high sentiment score
city,7.49579050123943,1885,unique high sentiment score
return,6.465833092330656,1885,unique high sentiment score
constituency,6.444771519359642,1885,unique high sentiment score
right,6.322520554580691,1885,unique high sentiment score
make,4.984152260247538,1885,unique high sentiment score
day,4.899276821724303,1885,unique high sentiment score
impossible,4.774980575710362,1885,unique high sentiment score
circumstances,4.755063798023596,1885,unique high sentiment score
land,4.703026867089247,1885,unique high sentiment score
national,4.599109913424322,1885,unique high sentiment score
questions,4.411778778437612,1885,unique high sentiment score
suppose,4.337849312059649,1885,unique high sentiment score
stand,4.306199646785481,1885,unique high sentiment score
represented,4.296677070603496,1885,unique high sentiment score
five,4.231465696623215,1885,unique high sentiment score
new,3.9570240572428577,1885,unique high sentiment score
meeting,3.874040165844693,1885,unique high sentiment score
position,3.8277515516878906,1885,unique high sentiment score
back,3.786791272213681,1885,unique high sentiment score
take,3.7799731252916056,1885,unique high sentiment score
government,3.7142078162081047,1885,unique high sentiment score
rent,3.655748822714729,1885,unique high sentiment score
first,3.592895510374561,1885,unique high sentiment score
nationalists,3.5648673815342784,1885,unique high sentiment score
evening,3.505125944748804,1885,unique high sentiment score
side,3.3467786866678786,1885,unique high sentiment score
occasion,3.2601446124936038,1885,unique high sentiment score
vote,3.2109306743374204,1885,unique high sentiment score
lord,3.074921922038071,1885,unique high sentiment score
late,2.973625637534676,1885,unique high sentiment score
landlords,2.85256619124874,1885,unique high sentiment score
irish people,2.821996377870448,1885,unique high sentiment score
election,2.809377043444253,1885,unique high sentiment score
general,2.7572231939038385,1885,unique high sentiment score
fact,2.675011882857538,1885,unique high sentiment score
