term,score,date
ireland,13.283744967117617,1885
country,10.908148267846755,1885
irish,10.576482441001303,1885
time,9.305010013922821,1885
parliament,7.999574653680989,1885
question,7.709331296405773,1885
parnell,7.569765407248907,1885
franchise,7.075133598528493,1885
people,6.915538543369027,1885
future,6.659775518747651,1885
rights,6.613363185959217,1885
city,6.528988470511472,1885
right,6.50662472496855,1885
england,6.394564158517983,1885
liverpool,6.358434259081301,1885
go,6.1537786539959844,1885
attempted,5.937851821955208,1885
circumstances,5.7811420076298266,1885
make,5.473341824447607,1885
man,5.433742550819087,1885
english,5.36414502882747,1885
far,5.145103431349982,1885
government,5.111672815059773,1885
opposition,5.001066326534406,1885
every,4.783478508919204,1885
voice,4.776508483471051,1885
times,4.541956239449882,1885
land,4.461438982388456,1885
party,4.404492204770373,1885
new,4.351360563684661,1885
day,4.3117992405766845,1885
things,4.247467649830937,1885
obtain,4.1821492503155255,1885
act,4.153452392376388,1885
stand,4.033154459732848,1885
constitution,3.9529600915209637,1885
meeting,3.644132929602827,1885
within,3.6041067710274133,1885
position,3.4246597850589797,1885
measure,3.422246044714677,1885
return,3.4051805171611838,1885
settlement,3.4046985804825933,1885
two,3.2930029179115388,1885
without,3.2052116294219912,1885
irish people,3.1880140304171656,1885
evening,3.155661454195287,1885
lord,3.0292971411698417,1885
forward,2.961891702394663,1885
everything,2.9613217898040167,1885
consideration,2.959082348134016,1885
