term,score,date
man,7.7587149482981665,1875
parnell,6.750860649521545,1875
ireland,6.312798761939664,1875
people,5.819832097756384,1875
tenant,5.689518245017432,1875
rule,5.566927847283819,1875
county,5.5546783204490655,1875
irish,5.548968296383425,1875
home,5.478619169664548,1875
england,5.181455259100863,1875
home rule,4.737918988289878,1875
day,4.301166395892127,1875
true,4.226505001373929,1875
bill,3.869314495892076,1875
given,3.7988198966690687,1875
interest,3.652012017769988,1875
national,3.2966296481445543,1875
country,3.218033684888864,1875
irish people,2.900786655912388,1875
strong,2.8281459426372,1875
cause,2.811341701453146,1875
strength,2.783709814449531,1875
government,2.574646989087779,1875
forward,2.565138939091946,1875
political,2.482087260366768,1875
self,2.3397835769781223,1875
parliament,2.2302728615793344,1875
good,2.182350324370592,1875
tenants,2.174395653051154,1875
old,2.13481116568999,1875
system,2.1220320590710644,1875
time,2.098242385997525,1875
gentlemen,2.05977505921627,1875
entitled,2.0332314368940096,1875
wish,2.002824675289742,1875
question,1.877167244904898,1875
prison,1.8731028023505119,1875
land,1.8708378354700659,1875
every,1.8034615141293824,1875
men,1.7847121298293431,1875
interests,1.7820721051001147,1875
secretary,1.7806785142156882,1875
heart,1.717899594102235,1875
still,1.701039079607754,1875
make,1.6526697288472634,1875
ability,1.6132361921792766,1875
english,1.6075532334388738,1875
opportunity,1.5557197230708089,1875
necessary,1.5410210381745595,1875
purpose,1.532644349628879,1875
