term,score,date
right,30.64345851827384,1886
irish,28.76418078460019,1886
ireland,28.180021796570006,1886
people,16.085900272165215,1886
party,15.153136867735286,1886
parliament,13.207213610832712,1886
result,12.8300028826252,1886
fact,12.487642216808046,1886
england,12.38931188915143,1886
two,11.326263504883736,1886
every,11.226435658208896,1886
lynch,10.853469899456329,1886
galway,10.462970915092896,1886
bill,10.342100327221395,1886
measure,10.312722419721005,1886
days,10.197012281369078,1886
plan,10.195362821580611,1886
oshea,9.944951908654062,1886
question,9.843436363484082,1886
ulster,9.570349479574828,1886
circumstances,9.464833811850252,1886
spirit,9.351731980812486,1886
parnell,9.315864714477373,1886
peace,9.311700386859918,1886
power,9.148020774863976,1886
cheerfully,8.858250731674376,1886
time,8.644879820600426,1886
future,8.600232832228388,1886
irish people,8.429656581414838,1886
settlement,8.38898024022265,1886
conservative,8.108374193014095,1886
like,7.977171410383708,1886
day,7.940743869620813,1886
legislature,7.932864552055765,1886
speech,7.708433101021959,1886
accepted,7.653429760041069,1886
first,7.547744554827744,1886
able,7.499784559348169,1886
landlords,7.463657254560189,1886
constituency,7.296836671891242,1886
satisfaction,7.283271051626636,1886
country,7.238355573402102,1886
man,7.23571370809116,1886
conservative party,7.151215280696642,1886
case,7.126844498350665,1886
minority,7.0864198614210165,1886
cause,7.026954224483551,1886
happy,7.024466791997564,1886
entirely,6.900460842574303,1886
gained,6.8953674989555935,1886
