term,score,date
parnell,9.10061205038203,1875
meath,5.70904859844565,1875
ireland,5.501413620622294,1875
england,5.454886843297774,1875
county,5.249037825856966,1875
people,5.158357706654981,1875
control,4.434877703797756,1875
matter,4.024159419604125,1875
irish,3.915044659952712,1875
given,3.5864318255320984,1875
meeting,3.5237088701626273,1875
war,3.132385530138068,1875
government,3.05286474163591,1875
prisoners,3.0074833268538406,1875
wrong,2.926176052265459,1875
question,2.879440404657479,1875
like,2.8185061083711047,1875
irish people,2.790358212153089,1875
noble,2.7120857406865246,1875
political,2.611269192884923,1875
country,2.592564743789576,1875
wish,2.434344405512449,1875
system,2.404686942885245,1875
good,2.3229716545943613,1875
man,2.298397993298392,1875
day,2.2518239725625118,1875
honest,2.219347041526233,1875
powers,2.176837878168469,1875
ability,2.088758493955396,1875
free,2.071218714264311,1875
gentlemen,2.057312300844958,1875
favour,2.0234446712126912,1875
men,1.9982331767922006,1875
nation,1.8988054638750298,1875
strong,1.8284705515070823,1875
hoped,1.811904536014949,1875
fair,1.7559749107045537,1875
peace,1.7507914799118833,1875
cause,1.736395269511273,1875
tenant,1.7303950862222668,1875
speech,1.6525075352281267,1875
address,1.606381648241828,1875
party,1.5492315530897656,1875
bill,1.5348711954229441,1875
greatest,1.5182572376030823,1875
constitution,1.490235655709458,1875
success,1.476737786971988,1875
measure,1.4478251154417425,1875
succeed,1.4089755512196251,1875
back,1.3989505351176645,1875
