term,score,date
irish,11.71808660419049,1885
cork,11.425603371927073,1885
ireland,10.81910957784841,1885
parliament,10.78086972766198,1885
parnell,8.426902949860882,1885
two,8.275566334216824,1885
constitution,8.056786312941876,1885
country,7.7656464781864125,1885
question,7.522009778285714,1885
city,7.49579050123943,1885
english,7.404036362473653,1885
time,7.324597697372874,1885
people,7.166790053596017,1885
return,6.465833092330656,1885
constituency,6.444771519359642,1885
right,6.322520554580691,1885
future,6.277328251785623,1885
make,4.984152260247538,1885
day,4.899276821724303,1885
impossible,4.774980575710362,1885
circumstances,4.7550637980235955,1885
land,4.703026867089247,1885
national,4.599109913424322,1885
years,4.528365253094431,1885
questions,4.411778778437612,1885
suppose,4.337849312059649,1885
stand,4.306199646785481,1885
represented,4.296677070603496,1885
five,4.231465696623215,1885
new,3.9570240572428577,1885
meeting,3.8740401658446926,1885
position,3.8277515516878906,1885
back,3.7867912722136805,1885
take,3.7799731252916056,1885
government,3.7142078162081047,1885
rent,3.655748822714729,1885
first,3.5928955103745612,1885
england,3.568945059031938,1885
nationalists,3.5648673815342784,1885
evening,3.5051259447488037,1885
side,3.3467786866678786,1885
occasion,3.2601446124936033,1885
vote,3.2109306743374204,1885
lord,3.074921922038071,1885
late,2.973625637534676,1885
landlords,2.85256619124874,1885
irish people,2.821996377870448,1885
election,2.809377043444253,1885
general,2.7572231939038385,1885
fact,2.675011882857538,1885
