term,score,date
parnell,19.65199593873538,1875
ireland,11.387501989539347,1875
irish,9.94517291438437,1875
time,8.933794289650212,1875
government,8.259625272680589,1875
people,8.11056687560128,1875
resolution,8.056675466718708,1875
meath,7.779819800988043,1875
right,7.34162102707558,1875
home,6.3337945622357115,1875
men,6.079570870642216,1875
motion,5.940148555594857,1875
rights,5.830497324626747,1875
england,5.797887654143916,1875
bill,5.662063057791176,1875
rule,5.636252752903295,1875
rev,5.4609915703757155,1875
meeting,5.127224404065867,1875
committee,4.887379266393404,1875
believed,4.876176650818078,1875
take,4.75250929545427,1875
evening,4.5509388946400975,1875
county,4.550405334514536,1875
circumstances,4.477356705715859,1875
militia,4.393754159804324,1875
dublin,4.35636152503212,1875
man,4.347086335771345,1875
without,4.077961920986942,1875
irish people,4.065256593097242,1875
able,4.058951662475634,1875
parliament,3.979753733958021,1875
attend,3.8766748590594955,1875
question,3.858154165217816,1875
days,3.844082910413044,1875
two,3.6348344621482243,1875
chairman,3.618564845247853,1875
first,3.6090580957044205,1875
forward,3.581518430941943,1875
long,3.4616948285157907,1875
years,3.4370523674165057,1875
john,3.4281737770589307,1875
appeared,3.3503147952878622,1875
nothing,3.0903751181553996,1875
duty,3.0668045542211027,1875
get,3.0521560085090957,1875
matter,3.0239231922873095,1875
tenant,2.9568034392269444,1875
notice,2.9275553519134783,1875
reason,2.9166893619847727,1875
commons,2.913218129137734,1875
