term,score,date
parnell,10.80531539835728,1876
prisoners,8.098059209871986,1876
prison,6.773459466727003,1876
england,4.665044504194485,1876
fact,4.254469275227407,1876
government,4.179919389795898,1876
fought,3.7977103629741067,1876
crime,3.257052735549452,1876
doubt,3.1514090101501613,1876
years,2.986220928592815,1876
men,2.8972026739182315,1876
parts,2.7618032341634833,1876
effect,2.7129433515678074,1876
longer,2.33999077203876,1876
man,2.3301729227390915,1876
irish,2.3291557845980284,1876
meath,2.223828141673399,1876
ireland,2.2102780127212722,1876
minister,2.1707963267870656,1876
fair,2.115949164327519,1876
even,2.112501298608775,1876
political,2.016445509159911,1876
irishman,1.9327665639990412,1876
day,1.9091504916143887,1876
two,1.6279492961016173,1876
given,1.4710894944270594,1876
greater,1.4666576627691275,1876
parties,1.4458256960064835,1876
friend,1.4416162840998872,1876
stand,1.3957755155651217,1876
innocent,1.3362497038962413,1876
gentlemen,1.3226483413275105,1876
perfectly,1.319220256026895,1876
place,1.319220256026895,1876
hoped,1.2181114185793385,1876
deal,1.149758811096518,1876
spirit,1.1477769826193112,1876
matter,1.142584300593574,1876
strength,1.101878605402963,1876
english,1.086936015679476,1876
system,1.017647803386684,1876
irishmen,1.0082069856207987,1876
therefore,1.0,1876
poor,1.0,1876
address,1.0,1876
opinion,1.0,1876
knew,1.0,1876
among,0.9762425113708955,1876
nothing,0.95628300822825,1876
satisfaction,0.95628300822825,1876
