term,score,date
ireland,23.525147726589466,1880
people,18.66638676314388,1880
famine,16.0697896042743,1880
government,14.159028172531384,1880
distress,12.936756857537143,1880
relief,11.150963058861048,1880
country,10.99108457663245,1880
system,9.909273478618076,1880
land,9.660623582264005,1880
help,9.09263634925784,1880
poor,8.629174704927259,1880
irish,8.307429249904176,1880
famines,7.733149418535902,1880
landlords,7.409529757592625,1880
good,6.871603637846145,1880
sympathy,6.796562868811623,1880
suffering,6.6504561604849535,1880
remarkable,6.56604076973498,1880
starvation,6.538504603963656,1880
cause,6.268478809795769,1880
tenants,6.227894656780808,1880
america,5.906719733304529,1880
time,5.315896685381415,1880
noble,4.982462909020692,1880
take,4.76545222213464,1880
respect,4.598762305726466,1880
question,4.378273836784995,1880
parnell,4.342753695450676,1880
work,4.182543915544829,1880
advice,4.152582724726302,1880
lord,4.009452966054852,1880
wish,3.8972482089904488,1880
opportunity,3.690202632316916,1880
matter,3.652898246145961,1880
still,3.5536850177257655,1880
fair,3.5401303787373792,1880
law,3.432237736929736,1880
knew,3.4186663045132937,1880
irish people,3.361539047973885,1880
gentlemen,3.311953445487343,1880
greatest,3.3114593114735094,1880
friend,3.3015352075531563,1880
money,3.3013471097941247,1880
rich,3.294954257493424,1880
like,3.2304614096793127,1880
taken,3.2214267703459645,1880
extent,3.1436610542530863,1880
day,3.136224635893246,1880
true,3.1267679053741277,1880
desire,3.1142306049093325,1880
