term,score,date
right,45.115244180200676,1886
ireland,36.39865642711408,1886
irish,26.137409941638232,1886
bill,23.60895327893387,1886
oshea,22.67605842181259,1886
ulster,21.820039801366992,1886
question,20.823264062563346,1886
lynch,20.505771448181985,1886
years,20.12082080537083,1886
galway,19.772598982672022,1886
people,19.1080726619271,1886
parliament,17.34585942194927,1886
order,14.34571879640308,1886
lord,14.143662567004176,1886
go,13.6946151200879,1886
parnell,13.176836727773695,1886
speech,12.313125517887888,1886
imperial,11.346977347668936,1886
explained,11.32717095740403,1886
first,11.149672232430538,1886
protestants,11.084250226881279,1886
day,10.853228979973217,1886
consideration,10.567693093221262,1886
two,10.252295073466158,1886
forward,10.110794027907675,1886
time,9.95639403168921,1886
separate,9.899150024464133,1886
man,9.649461199450071,1886
nationalists,9.637538048299277,1886
east,9.603100842688436,1886
voted,9.577373005999513,1886
england,9.468536525714137,1886
vote,9.463804119265044,1886
night,9.047074835022167,1886
mind,9.04575415210525,1886
poll,8.803442108729811,1886
duty,8.792529185916047,1886
five,8.696996804363701,1886
whole,8.696649881965582,1886
head,8.636497101911537,1886
catholic,8.634040350375324,1886
protestant,8.448020755975701,1886
irish people,8.1886171051029,1886
left,8.12905083117003,1886
even,8.08120882707483,1886
per,8.067414450872452,1886
point,8.058852082249635,1886
local,8.017628491900577,1886
opinion,7.974150565957261,1886
things,7.9725155570501665,1886
